Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,DeltaOwn,Value,Qty2,Value2
2021-10-07 18:23:44,2021-10-05,PRKR,Parkervision Inc,Poehlman Cynthia,CFO,S - Sale+OE,$1.21,"-10,000","25,193",-28%,"-$12,090",#N/A,#N/A
2021-10-07 18:20:52,2021-10-05,CRC,California Resources Corp,Goldentree Asset Management LP,10%,S - Sale,$41.32,"-100,000","10,137,116",-1%,"-$4,131,500",#N/A,#N/A
2021-10-07 18:18:44,2021-10-05,CPNG,"Coupang, Inc.",Pham Thuan,CTO,S - Sale,$26.75,"-119,923","2,920,390",-4%,"-$3,208,352",#N/A,#N/A
2021-10-07 18:15:47,2021-10-06,NGS,Natural Gas Services Group Inc,Hazlett James R,VP - Technical Services,S - Sale,$12.08,"-2,750","103,085",-3%,"-$33,220",#N/A,#N/A
2021-10-07 18:14:09,2021-10-06,VIR,"Vir Biotechnology, Inc.",Pang Phillip,Chief Medical Officer,S - Sale,$34.56,"-5,000","104,277",-5%,"-$172,781",#N/A,#N/A
2021-10-07 18:10:46,2021-10-05,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,$100.00,#ERROR!,"9,364,794",0%,#ERROR!,3833,383300
2021-10-07 18:09:12,2021-10-01,BCAB,"Bioatla, Inc.",Smith Scott Andrew,Pres,S - Sale,$30.18,"-2,994","351,725",-1%,"-$90,351",#N/A,#N/A
2021-10-07 18:08:57,2021-10-05,NE,Noble Corp,Pacific Investment Management Co LLC,10%,S - Sale,$27.95,"-32,100","26,030,320",0%,"-$897,232",#N/A,#N/A
2021-10-07 18:08:21,2021-10-01,BCAB,"Bioatla, Inc.",Sievers Eric,Chief Medical Officer,S - Sale,$30.39,-592,"93,174",-1%,"-$17,993",#N/A,#N/A
2021-10-07 18:06:51,2021-10-06,VRSN,Verisign Inc/ca,Strubbe Todd B,"Pres, COO",S - Sale,$205.76,"-3,000","107,652",-3%,"-$617,293",#N/A,#N/A
2021-10-07 18:01:14,2021-10-05,RDFN,Redfin Corp,Nielsen Christopher John,CFO,S - Sale+OE,$47.60,"-4,500","26,621",-14%,"-$214,200",#N/A,#N/A
2021-10-07 17:44:52,2021-10-06,EXPI,"Exp World Holdings, Inc.",Miles Randall D,Dir,S - Sale+OE,$40.07,"-15,000","700,080",-2%,"-$601,006",#N/A,#N/A
2021-10-07 17:44:44,2021-10-05,EXPI,"Exp World Holdings, Inc.",Sanford Glenn Darrel,"CEO, COB, 10%",S - Sale,$39.66,"-12,500","42,146,838",0%,"-$495,811",#N/A,#N/A
2021-10-07 17:42:26,2021-10-06,ADI,Analog Devices Inc,Evans Bruce R,Dir,P - Purchase,$164.98,#ERROR!,"100,464",0.09,#ERROR!,8001,1319957
2021-10-07 17:41:15,2021-10-05,NTLA,"Intellia Therapeutics, Inc.",Crowley John F,Dir,S - Sale+OE,$130.54,"-10,000","2,094",-83%,"-$1,305,391",#N/A,#N/A
2021-10-07 17:36:05,2021-10-05,RBLX,Roblox Corp,Guthrie Michael,CFO,S - Sale+OE,$74.26,"-40,000","80,625",-33%,"-$2,970,345",#N/A,#N/A
2021-10-07 17:33:48,2021-10-05,MTSI,"Macom Technology Solutions Holdings, Inc.",Daly Stephen G,"Pres, CEO",S - Sale,$65.47,-400,"241,447",0%,"-$26,188",#N/A,#N/A
2021-10-07 17:29:54,2021-10-06,RS,Reliance Steel & Aluminum Co,Hoffman James Donald,CEO,S - Sale,$141.43,"-5,000","98,897",-5%,"-$707,150",#N/A,#N/A
2021-10-07 17:27:38,2021-10-05,AGX,Argan Inc,Griffin William F Jr,"GEMMA, NON-Exec COB",S - Sale,$44.17,"-5,000","206,150",-2%,"-$220,850",#N/A,#N/A
2021-10-07 17:20:27,2021-10-05,XPEL,"Xpel, Inc.",Crumly Richard K.,"Dir, 10%",S - Sale,$76.13,"-36,000","3,295,199",-1%,"-$2,740,680",#N/A,#N/A
2021-10-07 17:18:02,2021-10-05,NVAX,Novavax Inc,Glenn Gregory M,"Pres, R, D",S - Sale+OE,$174.41,"-8,250","4,061",-67%,"-$1,438,895",#N/A,#N/A
2021-10-07 17:14:48,2021-10-07,TMQ,Trilogy Metals Inc.,Hayden William Beckwith,Dir,S - Sale+OE,$1.73,"-25,426","187,519",-12%,"-$43,987",#N/A,#N/A
2021-10-07 17:10:17,2021-10-06,AVO,"Mission Produce, Inc.",Wiesner Juan R,See Remarks,S - Sale+OE,$18.40,"-6,929","1,190,306",-1%,"-$127,494",#N/A,#N/A
2021-10-07 17:08:08,2021-10-06,AVO,"Mission Produce, Inc.",Gonzalez Luis A,"Dir, 10%",S - Sale,$18.10,"-543,820","10,028,297",-5%,"-$9,840,854",#N/A,#N/A
2021-10-07 17:08:08,2021-10-05,SNEX,Stonex Group Inc.,Oconnor Sean Michael,"CEO, Pres",S - Sale+OE,$66.49,"-20,520","1,194,431",-2%,"-$1,364,411",#N/A,#N/A
2021-10-07 17:07:59,2021-10-05,IHRT,"Iheartmedia, Inc.",Silver Point Capital L.P.,10%,S - Sale,$25.05,"-1,164,524","11,787,724",-9%,"-$29,168,580",#N/A,#N/A
2021-10-07 16:59:11,2021-10-04,PEYE,"Precision Optics Corporation, Inc.",Dirubio Jeffrey,"VP of Sales, Marketing",P - Purchase,$1.60,#ERROR!,"198,500",0.07,#ERROR!,12500,20000
2021-10-07 16:57:57,2021-10-05,INVO,"Invo Bioscience, Inc.",Goren Andrea,CFO,P - Purchase,$3.26,#ERROR!,"93,883",0.49,#ERROR!,30674,99997
2021-10-07 16:57:55,2021-10-05,INVO,"Invo Bioscience, Inc.",Shum Steve,CEO,P - Purchase,$3.26,#ERROR!,"61,924",0.98,#ERROR!,30674,99997
2021-10-07 16:52:39,2021-10-05,CARG,"Cargurus, Inc.",Steinert Langley,"Exec COB, 10%",S - Sale,$31.82,"-62,196","889,178",-7%,"-$1,979,077",#N/A,#N/A
2021-10-07 16:51:01,2021-10-05,TWLO,Twilio Inc,Shipchandler Khozema,CFO,S - Sale,$312.38,"-1,223","68,381",-2%,"-$382,041",#N/A,#N/A
2021-10-07 16:42:51,2021-10-06,HUBS,Hubspot Inc,Bueker Kathryn,CFO,S - Sale,$640.00,-600,"35,218",-2%,"-$384,000",#N/A,#N/A
2021-10-07 16:35:46,2021-10-05,SIEN,"Sientra, Inc.",Bennett Oliver Christian,"GC, Chief Compliance Officer",S - Sale,$5.56,"-3,615","76,868",-4%,"-$20,099",#N/A,#N/A
2021-10-07 16:35:40,2021-10-05,FTHM,Fathom Holdings Inc.,Harley Joshua,"CEO, 10%",S - Sale,$25.22,"-15,137","5,206,465",0%,"-$381,821",#N/A,#N/A
2021-10-07 16:31:35,2021-08-17,IIIN,Insteel Industries Inc,Wagner Richard,"SVP, COO",S - Sale+OE,$39.55,"-1,194","52,639",-2%,"-$47,226",#N/A,#N/A
2021-10-07 16:31:30,2021-10-07,UTHR,United Therapeutics Corp,Mahon Paul A,"EVP, GC",S - Sale+OE,$190.52,"-6,000","36,369",-14%,"-$1,143,144",#N/A,#N/A
2021-10-07 16:30:08,2021-10-06,BB,Blackberry Ltd,Eacobacci Thomas,"Pres, COO, BlackBerry",S - Sale,$9.35,"-171,300","2,500",-99%,"-$1,601,655",#N/A,#N/A
2021-10-07 16:27:35,2021-10-05,GDYN,"Grid Dynamics Holdings, Inc.",Klimoff Stan,Chief Strategy Officer,S - Sale,$28.18,"-7,000","264,401",-3%,"-$197,246",#N/A,#N/A
2021-10-07 16:26:00,2021-10-05,BPMC,Blueprint Medicines Corp,Namouni Fouad,"Pres, R, D",S - Sale,$98.18,"-3,241","42,321",-7%,"-$318,201",#N/A,#N/A
2021-10-07 16:25:35,2021-10-05,VIAV,Viavi Solutions Inc.,Belluzzo Richard,Dir,S - Sale,$15.34,"-2,450","204,305",-1%,"-$37,583",#N/A,#N/A
2021-10-07 16:25:31,2021-10-06,PLMR,"Palomar Holdings, Inc.",Christianson Jon,Chief Underwriting Officer,S - Sale,$78.81,"-1,500","98,481",-2%,"-$118,215",#N/A,#N/A
2021-10-07 16:23:20,2021-10-05,FIVN,"Five9, Inc.",Trollope Rowan M,CEO,S - Sale,$154.96,"-4,000","174,542",-2%,"-$619,835",#N/A,#N/A
2021-10-07 16:22:57,2021-10-06,VOLT,"Volt Information Sciences, Inc.",Ursaner Arnold,Dir,P - Purchase,$3.37,#ERROR!,"134,502",0.03,#ERROR!,4497,15165
2021-10-07 16:21:12,2021-10-07,SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,$72.79,#ERROR!,"36,025,642",0%,#ERROR!,13738,999989
2021-10-07 16:16:46,2021-10-06,MASS,908 Devices Inc.,Brown Christopher D.,CTO,S - Sale,$32.31,"-15,000","1,023,912",-1%,"-$484,651",#N/A,#N/A
2021-10-07 16:16:42,2021-10-05,ATLC,Atlanticus Holdings Corp,Mattingly Mack F,Dir,S - Sale,$55.29,"-27,110","43,962",-38%,"-$1,498,775",#N/A,#N/A
2021-10-07 16:16:32,2021-10-05,PUMP,Propetro Holding Corp.,Armour Spencer D III,Dir,S - Sale+OE,$9.97,"-98,793","54,515",-64%,"-$984,966",#N/A,#N/A
2021-10-07 16:16:11,2021-10-05,SMTI,Sanara Medtech Inc.,Fleming Zachary B.,Pres - Surgical Div.,S - Sale,$33.10,"-1,000","18,708",-5%,"-$33,104",#N/A,#N/A
2021-10-07 16:15:58,2021-10-05,SSTK,"Shutterstock, Inc.",Oringer Jonathan,"Exec COB, 10%",S - Sale,$113.27,"-25,237","12,679,306",0%,"-$2,858,604",#N/A,#N/A
2021-10-07 16:15:50,2021-10-05,AN,"Autonation, Inc.","Cascade Investment, L.L.C.",10%,S - Sale,$118.50,"-1,000","11,417,754",0%,"-$118,497",#N/A,#N/A
2021-10-07 16:15:10,2021-10-05,TXG,"10X Genomics, Inc.",Saxonov Serge,CEO,S - Sale+OE,$143.50,"-15,000","986,594",-1%,"-$2,152,490",#N/A,#N/A
2021-10-07 16:11:47,2021-10-06,ZS,"Zscaler, Inc.",Rajic Dali,"Pres Go-To-Mkt, Chief Rev Ofc",S - Sale,$262.00,"-20,000","259,934",-7%,"-$5,240,081",#N/A,#N/A
2021-10-07 16:11:28,2021-10-06,ZS,"Zscaler, Inc.",Canessa Remo,CFO,S - Sale,$263.03,"-20,000","287,585",-7%,"-$5,260,542",#N/A,#N/A
2021-10-07 16:11:25,2021-10-04,IDYA,"Ideaya Biosciences, Inc.",Dillon Michael P.,"SVP, Chief Scientific Officer",S - Sale+OE,$26.36,"-1,500","78,789",-2%,"-$39,545",#N/A,#N/A
2021-10-07 16:10:55,2021-10-05,PLTR,Palantir Technologies Inc.,Cohen Stephen Andrew,See Remarks,S - Sale+OE,$23.32,"-60,000",592,-99%,"-$1,399,416",#N/A,#N/A
2021-10-07 16:09:31,2021-10-07,HSY,Hershey Co,Arway Pamela M,Dir,S - Sale,$179.12,-288,"15,814",-2%,"-$51,587",#N/A,#N/A
2021-10-07 16:07:30,2021-10-05,RELI,"Reliance Global Group, Inc.",Beyman Ezra,CEO,P - Purchase,$2.74,#ERROR!,"4,815,768",0%,#ERROR!,1273,3488
2021-10-07 16:06:37,2021-10-05,HCAT,"Health Catalyst, Inc.",Horstmeier Paul,COO,S - Sale+OE,$48.09,"-10,750","108,441",-9%,"-$516,952",#N/A,#N/A
2021-10-07 16:05:57,2021-10-05,ARQT,"Arcutis Biotherapeutics, Inc.",Watanabe Todd Franklin,"Pres, CEO",S - Sale+OE,$24.92,"-2,500","812,793",0%,"-$62,294",#N/A,#N/A
2021-10-07 16:05:37,2021-10-05,PRCH,"Porch Group, Inc.",Neagle Matthew,COO,S - Sale+OE,$16.04,"-2,500","315,516",-1%,"-$40,100",#N/A,#N/A
2021-10-07 16:03:25,2021-10-05,MYOV,Myovant Sciences Ltd.,Arjona Ferreira Juan Camilo,Chief Medical Officer,S - Sale,$21.62,"-2,738","168,591",-2%,"-$59,196",#N/A,#N/A
2021-10-07 16:02:16,2021-10-05,MYOV,Myovant Sciences Ltd.,Lang Matthew,"GC, Corp. Secy.",S - Sale,$21.62,"-6,671","179,839",-4%,"-$144,227",#N/A,#N/A
2021-10-07 16:01:37,2021-10-05,IBKR,"Interactive Brokers Group, Inc.",Frank Thomas Aj,CIO,S - Sale,$67.09,"-36,438","1,496,721",-2%,"-$2,444,670",#N/A,#N/A
2021-10-07 16:01:06,2021-10-05,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,COB,S - Sale,$67.00,"-40,000","5,667,511",-1%,"-$2,679,944",#N/A,#N/A
2021-10-07 16:00:20,2021-10-06,SEAS,"Seaworld Entertainment, Inc.",Gulacsy Elizabeth,See Remarks,S - Sale,$57.49,"-3,187","91,211",-3%,"-$183,221",#N/A,#N/A
2021-10-07 15:04:12,2021-10-05,BR,"Broadridge Financial Solutions, Inc.",Daly Richard J,Exec COB,S - Sale+OE,$164.82,"-169,670","193,514",-47%,"-$27,965,543",#N/A,#N/A
2021-10-07 14:47:17,2020-11-16,GTBP,"Gt Biopharma, Inc.",Wendel Bruce,Dir,P - Purchase,$5.17,#ERROR!,"352,655",0.01,#ERROR!,5083,26299
2021-10-07 14:38:37,2021-10-05,ELVT,"Elevate Credit, Inc.",Peterson David Curry,Chief Credit Officer,S - Sale,$3.82,"-2,000","73,141",-3%,"-$7,640",#N/A,#N/A
2021-10-07 14:05:40,2021-10-06,OTC,Fomo Corp.,Szoradi Charles Attila,"Advisory Board Member, 10%",S - Sale,$0.00,"-1,932",0,-100%,-$3,#N/A,#N/A
2021-10-07 13:59:29,2021-10-05,SHRG,Sharing Services Global Corp,"Dss, Inc.",10%,P - Purchase,$0.09,#ERROR!,"91,527,878",0%,#ERROR!,20797,1913
2021-10-07 13:40:18,2021-10-05,EMMA,"Emmaus Life Sciences, Inc.",Niihara Yutaka,"COB, CEO, 10%",P - Purchase,$1.61,#ERROR!,"11,040,941",0%,#ERROR!,3000,4840
2021-10-07 13:07:13,2020-03-12,RRBI,Red River Bancshares Inc,Thompson Don Louis,Dir,P - Purchase,$40.63,#ERROR!,"8,367",1.03,#ERROR!,4250,172678
2021-10-07 12:03:06,2021-10-05,VZIO,Vizio Holding Corp.,"V-Tw Holdings, LLC",10%,S - Sale,$21.00,"-2,501","11,872,406",0%,"-$52,521",#N/A,#N/A
2021-10-07 11:52:00,2021-10-06,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$1,162.33",21,"378,847",0%,#ERROR!,21,24409
2021-10-07 11:21:10,2021-09-22,NSYS,Nortech Systems Inc,Miller Jay D,"Pres, CEO",P - Purchase,$11.67,300,"26,200",0.01,#ERROR!,300,3501
2021-10-07 9:27:06,2021-10-06,YORW,York Water Co,Wheeler Mark A,COO,P - Purchase,$45.22,6,"1,960",0%,#ERROR!,6,271
2021-10-07 9:03:52,2021-10-05,SYPR,Sypris Solutions Inc,Allen Anthony C,"VP, CFO",S - Sale,$3.73,"-8,000","324,309",-2%,"-$29,840",#N/A,#N/A
2021-10-07 8:54:09,2021-10-05,CASY,Caseys General Stores Inc,Renda Larree M,Dir,S - Sale+OE,$189.91,"-1,666","10,022",-14%,"-$316,390",#N/A,#N/A
2021-10-07 8:30:17,2021-10-05,JUPW,"Jupiter Wellness, Inc.",John Brian,"CEO, Dir",P - Purchase,$1.42,#ERROR!,"2,772,306",0.02,#ERROR!,51556,73023
2021-10-06 21:44:21,2021-10-05,OSH,"Oak Street Health, Inc.",Pykosz Michael T,CEO,S - Sale,$41.75,"-50,000","8,557,514",-1%,"-$2,087,628",#N/A,#N/A
2021-10-06 21:25:40,2021-10-04,SEMR,"Semrush Holdings, Inc.",Levin Eugenie,"Chief Strategy, CDO",S - Sale+OE,$22.28,"-3,100",0,-100%,"-$69,062",#N/A,#N/A
2021-10-06 21:18:54,2021-10-04,SEMR,"Semrush Holdings, Inc.",Humenik Delbert M,Chief Revenue Officer,S - Sale,$22.16,"-19,775","47,068",-30%,"-$438,269",#N/A,#N/A
2021-10-06 21:14:28,2021-10-06,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$331.38,"-77,300","856,342",-8%,"-$25,615,270",#N/A,#N/A
2021-10-06 21:00:54,2021-10-04,WRBY,Warby Parker Inc.,Sulzberger Gabrielle,Dir,S - Sale+OE,$53.52,"-20,383","9,173",-69%,"-$1,090,898",#N/A,#N/A
2021-10-06 20:43:23,2021-10-04,BBW,Build-A-Bear Workshop Inc,John Sharon Price,"Pres, CEO",S - Sale+OE,$16.86,"-112,918","584,735",-16%,"-$1,903,742",#N/A,#N/A
2021-10-06 20:35:40,2021-10-05,AVLR,"Avalara, Inc.",Mathradas Amit,See Remarks,S - Sale+OE,$167.23,"-4,428","85,196",-5%,"-$740,494",#N/A,#N/A
2021-10-06 20:26:12,2021-10-05,NAPA,"Duckhorn Portfolio, Inc.",Reber Carol,See Remarks,S - Sale,$24.25,"-14,337","616,592",-2%,"-$347,699",#N/A,#N/A
2021-10-06 20:25:51,2021-10-05,NAPA,"Duckhorn Portfolio, Inc.",Rasmuson Zach,See Remarks,S - Sale,$25.02,-100,"652,758",0%,"-$2,502",#N/A,#N/A
2021-10-06 20:25:14,2021-10-05,NAPA,"Duckhorn Portfolio, Inc.",Ryan Alex,See Remarks,S - Sale,$25.24,-200,"1,817,123",0%,"-$5,048",#N/A,#N/A
2021-10-06 20:24:47,2021-10-05,NAPA,"Duckhorn Portfolio, Inc.",Sullivan Sean B.A.,See Remarks,S - Sale,$24.23,"-5,000","243,263",-2%,"-$121,167",#N/A,#N/A
2021-10-06 20:24:22,2021-10-05,NAPA,"Duckhorn Portfolio, Inc.",Beaudoin Lori,See Remarks,S - Sale,$24.26,"-14,345","921,595",-2%,"-$348,029",#N/A,#N/A
2021-10-06 20:20:54,2021-10-05,AVLR,"Avalara, Inc.",Tennenbaum Ross,See Remarks,S - Sale+OE,$166.80,-904,"64,717",-1%,"-$150,787",#N/A,#N/A
2021-10-06 20:07:26,2021-10-04,SEMR,"Semrush Holdings, Inc.",Humenik Delbert M,Chief Revenue Officer,S - Sale+OE,$22.82,"-59,980","46,968",-56%,"-$1,368,762",#N/A,#N/A
2021-10-06 20:01:21,2021-10-04,OLPX,"Olaplex Holdings, Inc.",Advent International Corp/Ma,"Dir, 10%",S - Sale,$19.90,"-68,711,029","509,775,426",-12%,"-$1,367,177,700",#N/A,#N/A
2021-10-06 20:01:17,2021-10-04,OLPX,"Olaplex Holdings, Inc.",Advent International Corp/Ma,"Dir, 10%",S - Sale,$19.90,"-68,711,029","509,775,426",-12%,"-$1,367,177,700",#N/A,#N/A
2021-10-06 20:01:12,2021-10-04,OLPX,"Olaplex Holdings, Inc.",Advent International Corp/Ma,"Dir, 10%",S - Sale,$19.90,"-68,711,029","509,775,426",-12%,"-$1,367,177,700",#N/A,#N/A
2021-10-06 20:01:05,2021-10-04,OLPX,"Olaplex Holdings, Inc.",White Michael James,Dir,S - Sale,$19.90,"-68,711,029","509,775,426",-12%,"-$1,367,177,700",#N/A,#N/A
2021-10-06 20:01:01,2021-10-04,OLPX,"Olaplex Holdings, Inc.",Glynn Tricia,Dir,S - Sale,$19.90,"-68,711,029","509,775,426",-12%,"-$1,367,177,700",#N/A,#N/A
2021-10-06 20:00:57,2021-10-04,OLPX,"Olaplex Holdings, Inc.",Mussafer David M,Dir,S - Sale,$19.90,"-68,711,029","509,775,426",-12%,"-$1,367,177,700",#N/A,#N/A
2021-10-06 19:57:37,2021-10-04,MDB,"Mongodb, Inc.",Pech Cedric,Chief Revenue Officer,S - Sale,$449.36,"-3,531","102,070",-3%,"-$1,586,687",#N/A,#N/A
2021-10-06 19:52:16,2021-10-04,GDDY,Godaddy Inc.,Bhutani Amanpal Singh,CEO,S - Sale,$69.99,"-3,034","153,060",-2%,"-$212,357",#N/A,#N/A
2021-10-06 19:44:27,2021-10-01,BUDZ,"Weed, Inc.",Breen Nicole M,"Secretary, Treasurer, 10%",S - Sale,$0.30,"-20,000","21,689,160",0%,"-$6,000",#N/A,#N/A
2021-10-06 19:40:59,2021-10-05,CDNA,"Caredx, Inc.",Maag Peter,Exec Chair,S - Sale+OE,$64.67,"-10,000","343,756",-3%,"-$646,735",#N/A,#N/A
2021-10-06 19:17:14,2021-10-05,U,Unity Software Inc.,Downie Clive,"SVP, GM, Consumer",S - Sale+OE,$125.60,"-33,333","134,446",-20%,"-$4,186,523",#N/A,#N/A
2021-10-06 19:16:48,2021-10-06,GOOG,Alphabet Inc.,Pichai Sundar,CEO,S - Sale+OE,"$2,709.30","-3,000","93,000",-3%,"-$8,127,904",#N/A,#N/A
2021-10-06 19:14:35,2021-10-05,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$331.99,"-77,300","871,342",-8%,"-$25,662,554",#N/A,#N/A
2021-10-06 19:14:02,2021-10-04,STX,Seagate Technology Holdings Plc,Romano Gianluca,"EVP, CFO",S - Sale+OE,$84.40,"-26,139","21,514",-55%,"-$2,206,010",#N/A,#N/A
2021-10-06 19:13:53,2021-10-06,MATX,"Matson, Inc.",Cox Matthew J,"COB, CEO",S - Sale,$82.58,"-5,000","270,544",-2%,"-$412,920",#N/A,#N/A
2021-10-06 19:06:50,2021-10-04,FB,Facebook Inc,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,$327.88,"-4,800",0,-100%,"-$1,573,841",#N/A,#N/A
2021-10-06 19:06:12,2021-10-04,RMCF,"Rocky Mountain Chocolate Factory, Inc.",Radoff Bradley Louis,See Explanation of Responses,P - Purchase,$7.22,#ERROR!,"458,204",0.04,#ERROR!,18183,131354
