X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,Qty2,Value2
D,2021-06-02 18:17:31,2021-05-28,GWRS,"Global Water Resources, Inc.",Krygier Christopher D,Chief Strategy Officer,P - Purchase,$16.76,4,"2,566",0%,#ERROR!,4,62
,2021-06-02 18:16:03,2021-06-01,WOOF,"Petco Health & Wellness Company, Inc.",Canada Pension Plan Investment Board,10%,S - Sale,$23.16,"-9,010,422","61,116,931",-13%,"-$208,681,374",#N/A,#N/A
,2021-06-02 18:13:12,2021-05-28,NVDA,Nvidia Corp,Puri Ajay K,"EVP, Worldwide Field Ops",S - Sale,$650.27,"-69,707","124,117",-36%,"-$45,328,666",#N/A,#N/A
M,2021-06-02 18:09:39,2021-05-28,HARP,"Harpoon Therapeutics, Inc.",Gadicke Ansbert,10%,S - Sale,$20.63,"-57,494","6,328,095",-1%,"-$1,186,190",#N/A,#N/A
,2021-06-02 18:08:17,2021-06-01,NVDA,Nvidia Corp,Dabiri John,Dir,S - Sale,$651.15,-103,965,-10%,"-$67,069",#N/A,#N/A
,2021-06-02 18:07:53,2021-05-28,PMVP,"Pmv Pharmaceuticals, Inc.",Schroeder Thilo,Dir,S - Sale,$35.80,"-5,100","2,038,529",0%,"-$182,580",#N/A,#N/A
D,2021-06-02 18:06:12,2021-06-01,CRM,"Salesforce.Com, Inc.",Harris Parker,"Co-Founder, CTO",S - Sale+OE,$236.12,"-5,300","1,972,582",0%,"-$1,251,443",#N/A,#N/A
D,2021-06-02 18:05:49,2021-06-02,GOOG,Alphabet Inc.,Pichai Sundar,CEO,S - Sale+OE,"$2,429.38","-3,000","162,938",-2%,"-$7,288,147",#N/A,#N/A
D,2021-06-02 18:05:44,2021-05-28,ALLE,Allegion Plc,Eckersley Timothy P,SVP-Allegion International,S - Sale+OE,$140.99,"-3,496","34,039",-9%,"-$492,901",#N/A,#N/A
M,2021-06-02 18:05:42,2021-05-28,RILY,"B. Riley Financial, Inc.",Weitzman Howard,"SVP, Chief Accounting Officer",S - Sale,$73.95,"-15,503","39,141",-28%,"-$1,146,501",#N/A,#N/A
D,2021-06-02 18:05:22,2021-05-28,QSR,Restaurant Brands International Inc.,Schwan Axel Mr,"Pres, Tim Hortons Americas",S - Sale+OE,$69.73,"-25,931","114,792",-18%,"-$1,808,169",#N/A,#N/A
,2021-06-02 18:04:39,2021-06-02,AVA,Avista Corp,Morris Scott L,Chairman of the Board,S - Sale,$45.11,"-10,000","136,675",-7%,"-$451,100",#N/A,#N/A
,2021-06-02 18:03:33,2021-05-28,THC,Tenet Healthcare Corp,Hacker Howard,"EVP, Chief Compliance Officer",S - Sale,$66.70,"-6,382",0,-100%,"-$425,679",#N/A,#N/A
AD,2021-06-02 18:00:42,2021-05-25,ALLE,Allegion Plc,Eckersley Timothy P,SVP-Allegion International,S - Sale+OE,$139.81,"-5,392","34,039",-14%,"-$753,878",#N/A,#N/A
D,2021-06-02 18:00:30,2021-06-01,MDT,Medtronic Plc,Wall Brett A.,"EVP, Pres Neuroscience",S - Sale+OE,$128.07,"-2,473","21,487",-10%,"-$316,717",#N/A,#N/A
D,2021-06-02 17:59:39,2021-06-01,PING,Ping Identity Holding Corp.,Romer Lauren Adrienne,GC,S - Sale+OE,$24.25,"-1,000","133,332",-1%,"-$24,250",#N/A,#N/A
,2021-06-02 17:57:29,2021-06-02,HL,Hecla Mining Co/de/,Crumley Theodore,Dir,S - Sale,$9.34,"-50,000","76,536",-40%,"-$467,075",#N/A,#N/A
M,2021-06-02 17:57:22,2021-05-28,TMBR,"Timber Pharmaceuticals, Inc.",Tardimed Sciences LLC,10%,S - Sale,$1.27,"-66,285","5,371,232",-1%,"-$84,019",#N/A,#N/A
,2021-06-02 17:57:04,2021-06-01,TYME,"Tyme Technologies, Inc.",Demurjian Michael,10%,S - Sale,$1.58,"-20,000","24,558,546",0%,"-$31,600",#N/A,#N/A
D,2021-06-02 17:52:00,2021-06-01,CRM,"Salesforce.Com, Inc.",Weaver Amy E,"Pres, CFO",S - Sale+OE,$238.00,"-7,535","30,604",-20%,"-$1,793,330",#N/A,#N/A
,2021-06-02 17:51:58,2021-05-28,THRY,"Thryv Holdings, Inc.",Goldentree Asset Management LP,10%,S - Sale,$22.80,"-1,029,522","3,457,124",-23%,"-$23,473,102",#N/A,#N/A
D,2021-06-02 17:48:40,2021-06-01,NUS,"Nu Skin Enterprises, Inc.",Dorny D Matthew,GC,S - Sale+OE,$60.78,"-6,200","47,159",-12%,"-$376,836",#N/A,#N/A
M,2021-06-02 17:47:01,2021-05-28,JYNT,Joint Corp,Bandera Partners LLC,See Footnote 1,S - Sale,$71.64,"-369,313","1,312,999",-22%,"-$26,459,041",#N/A,#N/A
D,2021-06-02 17:46:09,2021-06-01,SI,Silvergate Capital Corp,Brassfield Karen F.,Dir,S - Sale+OE,$117.30,"-4,000","16,298",-20%,"-$469,200",#N/A,#N/A
,2021-06-02 17:45:02,2021-06-01,INSW,"International Seaways, Inc.",Pribor Jeffrey,"SVP,CFO, Treasurer",S - Sale,$20.25,"-1,000","47,164",-2%,"-$20,249",#N/A,#N/A
M,2021-06-02 17:43:30,2021-06-01,SCOR,"Comscore, Inc.",Gotlieb Irwin,Dir,P - Purchase,$3.97,#ERROR!,"186,956",115%,#ERROR!,100000,397454
D,2021-06-02 17:40:54,2021-06-01,ZANDZ,"Zillow Group, Inc.",Owens Bradley D.,GC,S - Sale+OE,$119.00,"-1,000",968,-51%,"-$119,000",#N/A,#N/A
,2021-06-02 17:40:33,2021-06-01,PANW,Palo Alto Networks Inc,Compeau Jean,"Deputy CFO, CAO",S - Sale,$360.07,"-2,498","22,112",-10%,"-$899,442",#N/A,#N/A
D,2021-06-02 17:40:07,2021-06-01,ZANDZ,"Zillow Group, Inc.",Beitel David A.,CTO,S - Sale+OE,$114.41,"-5,000","49,371",-9%,"-$572,069",#N/A,#N/A
M,2021-06-02 17:40:05,2021-05-28,RPTX,Repare Therapeutics Inc.,Foley Todd,Dir,S - Sale,$32.47,"-16,786","2,383,672",-1%,"-$545,041",#N/A,#N/A
,2021-06-02 17:39:56,2021-06-01,RAPT,"Rapt Therapeutics, Inc.",Ho William,Chief Medical Officer,S - Sale,$19.50,"-1,000","62,529",-2%,"-$19,500",#N/A,#N/A
M,2021-06-02 17:39:15,2021-05-28,RPTX,Repare Therapeutics Inc.,Gadicke Ansbert,10%,S - Sale,$32.47,"-38,098","4,202,574",-1%,"-$1,237,042",#N/A,#N/A
DM,2021-06-02 17:39:13,2021-05-28,CZWI,Citizens Community Bancorp Inc.,Bianchi Stephen M,"CEO, Pres",P - Purchase,$13.57,#ERROR!,"94,648",1%,#ERROR!,1100,14932
,2021-06-02 17:38:47,2021-06-01,ADTX,"Aditx Therapeutics, Inc.",Runge Jeffrey W.,Dir,P - Purchase,$2.93,#ERROR!,"12,500",400%,#ERROR!,10000,29344
D,2021-06-02 17:38:30,2021-06-01,VIR,"Vir Biotechnology, Inc.",Virgin Herbert,"EVP, Research, CSO",S - Sale+OE,$42.51,"-1,375","91,700",-1%,"-$58,451",#N/A,#N/A
D,2021-06-02 17:37:28,2021-05-28,URBN,Urban Outfitters Inc,Singh Cassidy Sukhinder,Dir,S - Sale+OE,$39.03,"-30,000",0,-100%,"-$1,170,965",#N/A,#N/A
M,2021-06-02 17:35:11,2021-05-28,GRTX,"Galera Therapeutics, Inc.",West Linda,Dir,P - Purchase,$8.64,#ERROR!,"20,000",New,#ERROR!,20000,172791
D,2021-06-02 17:34:56,2021-05-28,URBN,Urban Outfitters Inc,Morgenfeld Todd R,Dir,S - Sale+OE,$39.35,"-5,000",0,-100%,"-$196,756",#N/A,#N/A
,2021-06-02 17:33:55,2021-06-02,SAIL,"Sailpoint Technologies Holdings, Inc.",Melin Heidi M,Dir,S - Sale,$45.97,"-3,000","15,314",-16%,"-$137,910",#N/A,#N/A
D,2021-06-02 17:33:34,2021-06-01,ROOT,"Root, Inc.",Manges Daniel,"CTO, 10%",S - Sale+OE,$8.80,"-150,000","287,424",-34%,"-$1,320,000",#N/A,#N/A
D,2021-06-02 17:32:01,2021-05-28,LEU,Centrus Energy Corp,Poneman Daniel B,"Pres, CEO",S - Sale+OE,$22.56,"-12,000","63,434",-16%,"-$270,744",#N/A,#N/A
,2021-06-02 17:31:59,2021-06-01,SAIL,"Sailpoint Technologies Holdings, Inc.",Mills Matt,"Pres, Worldwide Field Ops",S - Sale,$45.56,"-1,769","126,372",-1%,"-$80,591",#N/A,#N/A
,2021-06-02 17:30:41,2021-06-01,BATL,Battalion Oil Corp,Germann Scott,Dir,S - Sale,$13.11,-553,"4,239",-12%,"-$7,250",#N/A,#N/A
D,2021-06-02 17:30:20,2021-06-01,SAIL,"Sailpoint Technologies Holdings, Inc.",Ream Jason,CFO,S - Sale+OE,$44.87,"-15,000","109,055",-12%,"-$673,025",#N/A,#N/A
D,2021-06-02 17:29:45,2021-06-01,OM,"Outset Medical, Inc.",Grossman D Keith,Dir,S - Sale+OE,$47.92,"-1,296","11,604",-10%,"-$62,102",#N/A,#N/A
D,2021-06-02 17:29:05,2021-06-01,RGCO,Rgc Resources Inc,Oliver Lawrence T.,"VP, Interim CFO, Sec., Treas.",P - Purchase,$23.03,9,"4,270",0%,#ERROR!,9,200
M,2021-06-02 17:28:31,2021-06-01,RDI,Reading International Inc,Cotter Margaret,"Chairperson, EVP - RE Dev, NY, 10%",S - Sale,$6.62,"-8,000","2,269,481",0%,"-$52,976",#N/A,#N/A
D,2021-06-02 17:28:30,2021-06-01,OM,"Outset Medical, Inc.",Vazquez Martin,COO,S - Sale+OE,$47.91,"-5,000","9,255",-35%,"-$239,529",#N/A,#N/A
D,2021-06-02 17:26:39,2021-06-01,URBN,Urban Outfitters Inc,McDonald Wesley S,Dir,S - Sale+OE,$39.67,"-10,000",0,-100%,"-$396,700",#N/A,#N/A
D,2021-06-02 17:26:11,2021-06-01,OM,"Outset Medical, Inc.",Trigg Leslie,"Pres, CEO",S - Sale+OE,$47.90,"-20,000","259,428",-7%,"-$957,930",#N/A,#N/A
,2021-06-02 17:26:03,2021-06-01,TRUE,"Truecar, Inc.",Buce Robert,Dir,S - Sale,$5.66,"-17,500","429,278",-4%,"-$99,003",#N/A,#N/A
