X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
,11/5/21 18:49,11/5/21,UBFO,United Security Bancshares,Ellithorpe G Thompson,Dir,P - Purchase,$7.98 ,"1,000","146,024",1%,"$7,980 ",,,,
,11/5/21 19:00,11/5/21,ABEO,Abeona Therapeutics Inc.,O'Malley Brendan M.,"SVP, GC",S - Sale,$0.89 ,"-8,880","213,630",-4%,"($7,894)",,,,
,11/5/21 20:23,11/5/21,KRC,Kilroy Realty Corp,Werber Merryl Elizabeth,"SVP, CAO, Controller",S - Sale,$71.00 ,"-1,000","12,974",-7%,"($71,000)",,,,
,11/5/21 20:23,11/5/21,KRC,Kilroy Realty Corp,Roth Heidi Rena,See Remarks,S - Sale,$70.92 ,"-12,696","42,702",-23%,"($900,400)",,,,
,11/5/21 20:47,11/5/21,TLS,Telos Corp,Wright Jefferson V.,"EVP, GC",S - Sale,$26.17 ,"-25,000","408,930",-6%,"($654,250)",,,,
,11/5/21 21:12,11/5/21,ZNTL,"Zentalis Pharmaceuticals, Inc.",Gallagher Cam,Dir,S - Sale,$82.95 ,"-10,000","447,203",-2%,"($829,491)",,,,
D,11/5/21 21:22,11/5/21,TSLA,"Tesla, Inc.",Musk Kimbal,Dir,S - Sale+OE,"$1,229.06 ","-88,500","511,240",-15%,"($108,771,415)",,,,
,11/4/21 13:57,11/4/21,FSBC,Five Star Bancorp,White Leigh Ann,Dir,P - Purchase,$27.62 ,"1,000","5,300",23%,"$27,620 ",,,,
,11/4/21 14:11,11/4/21,HSC,Harsco Corp,Aga Anshooman,"SVP, CFO",P - Purchase,$13.63 ,"2,000","2,000",New,"$27,260 ",,,,
,11/4/21 14:16,11/4/21,LBTI,"Lithium & Boron Technology, Inc.",Zhang Jian,10%,S - Sale,$0.00 ,"-22,165,012",0,-100%,"($22,165)",,,,
,11/4/21 14:19,11/4/21,LBTI,"Lithium & Boron Technology, Inc.",Zhang Jimin,"CEO, 10%",P - Purchase,$0.00 ,"106,001,971","152,769,779",227%,"$106,002 ",,,,
,11/4/21 14:19,11/4/21,LBTI,"Lithium & Boron Technology, Inc.",Zhang Jimin,"CEO, 10%",S - Sale,$0.00 ,"-600,000,000","152,769,779",-80%,"($600,000)",,,,
,11/4/21 14:21,11/4/21,LBTI,"Lithium & Boron Technology, Inc.",Zhang Mao,10%,S - Sale,$0.00 ,"-83,836,959",0,-100%,"($83,837)",,,,
,11/4/21 14:20,11/4/21,HSC,Harsco Corp,Stanton David,"SVP, Group Pres Clean Earth",P - Purchase,$13.75 ,"5,000","28,898",21%,"$68,750 ",,,,
,11/4/21 15:33,11/4/21,EL,Estee Lauder Companies Inc,Hertzmark Hudis Jane,Exec Group Pres,S - Sale,$340.06 ,"-9,043","39,408",-19%,"($3,075,163)",,,,
,11/4/21 16:07,11/4/21,CALX,"Calix, Inc",Listwin Donald J,Dir,P - Purchase,$74.36 ,23,"1,100,000",0%,"$1,710 ",,,,
,11/4/21 16:16,11/4/21,SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,$75.14 ,"12,290","36,302,417",0%,"$923,471 ",,,,
D,11/4/21 16:31,11/4/21,UTHR,United Therapeutics Corp,Mahon Paul A,"EVP, GC",S - Sale+OE,$201.19 ,"-6,000","36,369",-14%,"($1,207,153)",,,,
,11/4/21 16:41,11/4/21,HRI,Herc Holdings Inc,Browning James H,Dir,P - Purchase,$184.80 ,4,"7,065",0%,$750 ,,,,
,11/4/21 16:48,11/4/21,KFRC,Kforce Inc,Dunkel David L,CEO,S - Sale,$71.00 ,"-4,889","585,413",-1%,"($347,119)",,,,
,11/4/21 17:23,11/4/21,VICI,Vici Properties Inc.,Gallagher Samantha Sacks,"GC, EVP",P - Purchase,$29.25 ,"3,400","110,182",3%,"$99,450 ",,,,
D,11/4/21 18:22,11/4/21,HCA,"Hca Healthcare, Inc.",Whalen Kathleen M,"SVP, Chief Ethics Officer",S - Sale+OE,$250.48 ,"-3,815","8,877",-30%,"($955,598)",,,,
D,11/4/21 18:54,11/4/21,MEC,"Mayville Engineering Company, Inc.",Michels Patrick D,Dir,P - Purchase,$17.05 ,"10,000","60,415",20%,"$170,500 ",,,,
D,11/4/21 20:27,11/4/21,BRDS,"Bird Global, Inc.",McNeill Scott K.,"Co-CEO, 10%",P - Purchase,$10.00 ,"430,000","1,060,000",68%,"$4,300,000 ",,,,
D,11/4/21 20:26,11/4/21,BRDS,"Bird Global, Inc.",Mutrie James E.,Dir,P - Purchase,$10.00 ,"430,000","8,356,250",5%,"$4,300,000 ",,,,
,11/4/21 20:51,11/4/21,SMPL,Simply Good Foods Co,Montgomery Robert G.,Dir,S - Sale,$40.27 ,"-5,000","52,578",-9%,"($201,363)",,,,
,11/5/21 10:13,11/4/21,EDUC,Educational Development Corp,White Craig M,CEO,P - Purchase,$0.00 ,"4,923","582,254",1%,$0 ,,,,
,11/5/21 10:14,11/4/21,GHC,Graham Holdings Co,Snyman Marcel A.,VP-Chief Accounting Officer,S - Sale,$605.07 ,-128,443,-22%,"($77,449)",,,,
,11/5/21 10:16,11/4/21,EDUC,Educational Development Corp,Cobb Heather N.,"CHIEF SALES, MARKETING OFFICER",P - Purchase,$0.00 ,"2,844","148,972",2%,$0 ,,,,
,11/5/21 10:19,11/4/21,EDUC,Educational Development Corp,O Keefe Daniel E,CFO,P - Purchase,$0.00 ,"2,539","160,563",2%,$0 ,,,,
,11/5/21 10:28,11/4/21,RRBI,Red River Bancshares Inc,Price Teddy Ray,Dir,P - Purchase,$53.00 ,577,"424,881",0%,"$30,581 ",,,,
,11/5/21 10:34,11/4/21,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$1,239.83 ",22,"366,583",0%,"$27,276 ",,,,
,11/5/21 10:47,11/4/21,ALTR,Altair Engineering Inc.,Schramm Uwe,See Remarks,S - Sale,$80.00 ,"-5,000","38,265",-12%,"($400,000)",,,,
,11/5/21 10:51,11/4/21,RRBI,Red River Bancshares Inc,Hines Barry Dale,Dir,S - Sale,$52.56 ,"-5,000","8,261",-38%,"($262,815)",,,,
,11/5/21 10:59,11/4/21,EL,Estee Lauder Companies Inc,Haney Carl P.,"EVP Research Prod, Innovation",S - Sale,$338.81 ,"-1,682","7,632",-18%,"($569,878)",,,,
,11/5/21 11:03,11/4/21,CME,Cme Group Inc.,Duffy Terrence A,"COB, CEO",P - Purchase,$220.21 ,"1,600","80,908",2%,"$352,337 ",,,,
,11/5/21 11:19,11/4/21,LLY,Eli Lilly & Co,Lilly Endowment Inc,10%,S - Sale,$268.82 ,"-195,000","107,853,610",0%,"($52,419,318)",,,,
D,11/5/21 11:56,11/4/21,KN,Knowles Corp,Bastarrica Air A. Jr.,"VP, Controller",S - Sale+OE,$21.18 ,"-11,132","29,303",-28%,"($235,817)",,,,
,11/5/21 12:31,11/4/21,CTRA,Coterra Energy Inc.,Deshazer Michael D.,VP - Business Units,S - Sale,$21.73 ,"-60,000","56,824",-51%,"($1,303,800)",,,,
D,11/5/21 12:41,11/4/21,CNMD,Conmed Corp,Peters Stanley W III,VP GM Advanced Surgery,S - Sale+OE,$154.06 ,"-14,000",63,-100%,"($2,156,854)",,,,
D,11/5/21 12:42,11/4/21,NWFL,Norwood Financial Corp,Carmody John F,"EVP, Chief Credit Officer",S - Sale+OE,$27.00 ,"-1,021","18,408",-5%,"($27,567)",,,,
D,11/5/21 14:15,11/4/21,CNMD,Conmed Corp,Pelletier Johonna Marie,"Treasurer, VP, Tax",S - Sale+OE,$154.52 ,"-9,197","2,634",-78%,"($1,421,102)",,,,
,11/5/21 15:23,11/4/21,TCBI,Texas Capital Bancshares Inc/tx,Hyle Charles S,Dir,P - Purchase,$61.92 ,"1,500","10,012",18%,"$92,880 ",,,,
D,11/5/21 16:02,11/4/21,AME,Ametek Inc/,Chandy Ruby R,Dir,S - Sale+OE,$140.31 ,"-1,930","21,246",-8%,"($270,800)",,,,
D,11/5/21 16:01,11/4/21,SNBR,Sleep Number Corp,Krusmark Christopher D,"SVP, Chief H.R. Officer",S - Sale+OE,$91.00 ,"-1,705","11,726",-13%,"($155,155)",,,,
,11/5/21 16:05,11/4/21,EVER,"Everquote, Inc.",Blundin David B,"Dir, 10%",P - Purchase,$13.43 ,"41,000","2,788,765",1%,"$550,630 ",,,,
D,11/5/21 16:06,11/4/21,COP,Conocophillips,Olds Nicholas G,EVP,S - Sale+OE,$74.64 ,"-9,200","1,162",-89%,"($686,688)",,,,
,11/5/21 16:06,11/4/21,HEES,"H&e Equipment Services, Inc.",Edsell Patrick,Dir,S - Sale,$46.70 ,-100,"30,606",0%,"($4,670)",,,,
D,11/5/21 16:15,11/4/21,CACC,Credit Acceptance Corp,Ulatowski Daniel A.,Chief Sales Officer,S - Sale+OE,$691.00 ,"-1,000","14,012",-7%,"($691,000)",,,,
,11/5/21 16:15,11/4/21,PJT,Pjt Partners Inc.,Skaugen Grace Reksten,Dir,P - Purchase,$84.30 ,500,500,New,"$42,150 ",,,,
M,11/5/21 16:16,11/4/21,AESE,"Allied Esports Entertainment, Inc.",Pliska Adam J,Dir,S - Sale,$1.93 ,"-109,848","2,190",-98%,"($212,403)",,,,
,11/5/21 16:20,11/4/21,AAN,"Aaron'S Company, Inc.",Barrett Kelly Hefner,Dir,P - Purchase,$25.63 ,"4,000","11,979",50%,"$102,520 ",,,,
D,11/5/21 16:22,11/4/21,MRK,"Merck & Co., Inc.",Litchfield Caroline,"EVP, CFO",S - Sale+OE,$91.00 ,"-18,335","24,114",-43%,"($1,668,503)",,,,
,11/5/21 16:25,11/4/21,BKR,Baker Hughes Co,Worrell Brian,CFO,S - Sale,$25.72 ,"-29,334","86,284",-25%,"($754,470)",,,,
D,11/5/21 16:24,11/4/21,MRK,"Merck & Co., Inc.",Deluca Richard R.,"EVP, Pres, Merck Animal Heallt",S - Sale+OE,$90.40 ,"-29,782","118,086",-20%,"($2,692,299)",,,,
,11/5/21 16:27,11/4/21,DIOD,Diodes Inc /del/,Lu Keh Shew,"Pres, CEO",S - Sale,$103.44 ,"-50,000","926,443",-5%,"($5,172,100)",,,,
,11/5/21 16:28,11/4/21,ATRA,"Atara Biotherapeutics, Inc.",Fust Matthew K,Dir,S - Sale,$19.50 ,"-13,354","31,500",-30%,"($260,403)",,,,
,11/5/21 16:30,11/4/21,OSH,"Oak Street Health, Inc.",Guenthner Robert,GC,S - Sale,$46.08 ,"-5,902","460,868",-1%,"($271,987)",,,,
,11/5/21 16:30,11/4/21,HONE,"Harborone Bancorp, Inc.",Tryder David E.,"SVP, CMO",S - Sale,$14.83 ,"-14,500","10,357",-58%,"($215,035)",,,,
D,11/5/21 16:33,11/4/21,UTHR,United Therapeutics Corp,Rothblatt Martine A,"COB, CEO",S - Sale+OE,$200.00 ,"-3,083","656,825",0%,"($616,600)",,,,
D,11/5/21 16:32,11/4/21,ROK,"Rockwell Automation, Inc",Riesterer Terry L.,"VP, Controller",S - Sale+OE,$342.68 ,"-1,900","1,523",-56%,"($651,087)",,,,
,11/5/21 16:32,11/4/21,ADI,Analog Devices Inc,Doluca Tunc,Dir,S - Sale,$180.00 ,"-2,100","800,899",0%,"($378,000)",,,,
,11/5/21 16:33,11/4/21,DIOD,Diodes Inc /del/,Tang Francis,"SVP, WW Discrete Products",S - Sale,$103.59 ,"-10,226","71,976",-12%,"($1,059,289)",,,,
DM,11/5/21 16:34,11/4/21,GSHD,"Goosehead Insurance, Inc.",Coleman Desiree,"Member of 10% owner group, 10%",S - Sale+OE,$141.12 ,"-12,035","329,980",-4%,"($1,698,414)",,,,
,11/5/21 16:34,11/4/21,DIOD,Diodes Inc /del/,Yang Emily,"SVP Worldwide Sales, Marketing",S - Sale,$105.00 ,"-1,267","76,587",-2%,"($133,035)",,,,
DM,11/5/21 16:35,11/4/21,GSHD,"Goosehead Insurance, Inc.",Colby Michael C.,"Pres, COO",S - Sale+OE,$140.15 ,"-7,000","1,221,081",-1%,"($981,035)",,,,
D,11/5/21 16:35,11/4/21,VAPO,Vapotherm Inc,Ramade Gregoire,"SVP, Chief Commercial Officer",S - Sale+OE,$25.03 ,"-2,000","20,614",-9%,"($50,060)",,,,
,11/5/21 16:38,11/4/21,TAP,Molson Coors Beverage Co,Winnefeld James A Jr,Dir,P - Purchase,$45.47 ,200,"10,170",2%,"$9,093 ",,,,
,11/5/21 16:42,11/4/21,AMZN,Amazon Com Inc,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,406.40 ","-9,480","50,211,644",0%,"($32,292,708)",,,,
D,11/5/21 16:43,11/4/21,CUBI,"Customers Bancorp, Inc.",Sidhu Jay S,"COB, CEO",S - Sale+OE,$57.42 ,"-20,000","1,424,912",-1%,"($1,148,320)",,,,
,11/5/21 16:49,11/4/21,AAT,"American Assets Trust, Inc.",Rady Ernest S,"COB, CEO, 10%",P - Purchase,$38.43 ,"10,000","10,771,200",0%,"$384,300 ",,,,
,11/5/21 16:48,11/4/21,AMZN,Amazon Com Inc,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,454.09 ","-37,345","50,174,299",0%,"($128,993,086)",,,,
,11/5/21 16:55,11/4/21,AMZN,Amazon Com Inc,Bezos Jeffrey P,"Exec Chair, 10%",S - Sale,"$3,485.57 ","-32,700","50,141,599",0%,"($113,978,276)",,,,
,11/5/21 16:58,11/4/21,BLD,Topbuild Corp,Peterson John S.,"VP, CFO",S - Sale,$264.84 ,"-4,315","9,845",-30%,"($1,142,785)",,,,
D,11/5/21 17:00,11/4/21,HZNP,Horizon Therapeutics Public Ltd Co,Pasternak Andy,"EVP, Chief Business Officer",S - Sale+OE,$113.04 ,"-30,168","23,355",-56%,"($3,410,181)",,,,
D,11/5/21 17:00,11/4/21,HZNP,Horizon Therapeutics Public Ltd Co,Moze Barry,"EVP, Chief Admin. Officer",S - Sale+OE,$112.28 ,"-75,743","75,681",-50%,"($8,504,208)",,,,
,11/5/21 17:01,11/4/21,AMRC,"Ameresco, Inc.",Sakellaris George P,"Pres, CEO, 10%",S - Sale,$92.85 ,"-8,623","2,037,332",0%,"($800,605)",,,,
D,11/5/21 17:02,11/4/21,PRMW,Primo Water Corp /cn/,Fowden Jeremy S G,Dir,S - Sale+OE,$18.22 ,"-206,687","1,359,290",-13%,"($3,765,837)",,,,
D,11/5/21 17:04,11/4/21,AMRC,"Ameresco, Inc.",Murley Thomas S,Dir,S - Sale+OE,$93.23 ,"-14,000","10,500",-57%,"($1,305,263)",,,,
,11/5/21 17:04,11/4/21,SKT,"Tanger Factory Outlet Centers, Inc",Perry Chad,"EVP,GC,Secretary",S - Sale,$21.28 ,"-5,000","120,406",-4%,"($106,420)",,,,
,11/5/21 17:06,11/4/21,ECL,Ecolab Inc.,McCormick Michael C.,"EVP, GC, SECRETARY",S - Sale,$228.76 ,"-2,890","50,821",-5%,"($661,119)",,,,
D,11/5/21 17:06,11/4/21,KROS,"Keros Therapeutics, Inc.",Lachey Jennifer,Chief Scientific Officer,S - Sale+OE,$50.00 ,"-10,600","85,700",-11%,"($530,000)",,,,
D,11/5/21 17:07,11/4/21,AMRC,"Ameresco, Inc.",Bakas Michael T,EVP,S - Sale+OE,$95.00 ,"-20,000",0,-100%,"($1,900,000)",,,,
D,11/5/21 17:09,11/4/21,AMRC,"Ameresco, Inc.",Chiplock Mark,"VP, CAO",S - Sale+OE,$94.00 ,"-3,000",0,-100%,"($282,000)",,,,
,11/5/21 17:11,11/4/21,CDE,"Coeur Mining, Inc.",Mellor Robert E,COB (non-Exec),P - Purchase,$6.97 ,"1,000","187,233",1%,"$6,965 ",,,,
D,11/5/21 17:10,11/4/21,ECL,Ecolab Inc.,Simermeyer Elizabeth A,"EVP, PRES - HC, LIFE SCI",S - Sale+OE,$228.19 ,"-4,378","10,482",-29%,"($999,011)",,,,
D,11/5/21 17:13,11/4/21,CSU,Capital Senior Living Corp,Levinson Sam,10%,P - Purchase,$27.87 ,330,"775,637",0%,"$9,197 ",,,,
,11/5/21 17:16,11/4/21,YMAB,"Y-Mabs Therapeutics, Inc.",Kruse Bo,"EVP, CFO, Secretary, Treas.",S - Sale,$27.54 ,"-4,000","209,077",-2%,"($110,160)",,,,
,11/5/21 17:19,11/4/21,RAMP,"Liveramp Holdings, Inc.",Tomlin Debora B,Dir,S - Sale,$58.01 ,"-3,600","17,208",-17%,"($208,836)",,,,
M,11/5/21 17:23,11/4/21,PKBK,"Parke Bancorp, Inc.",Pennoni Celestino R,Dir,S - Sale,$23.06 ,"-3,276","253,600",-1%,"($75,554)",,,,
,11/5/21 17:26,11/4/21,PI,Impinj Inc,Sessler Gregory,Dir,S - Sale,$80.75 ,"-4,360","25,764",-14%,"($352,070)",,,,
,11/5/21 17:29,11/4/21,PI,Impinj Inc,Van Oppen Peter H,Dir,S - Sale,$79.01 ,"-10,000","22,825",-30%,"($790,115)",,,,
,11/5/21 17:32,11/4/21,CROX,"Crocs, Inc.",Bickley Ian,Dir,S - Sale,$177.13 ,"-3,000","41,197",-7%,"($531,381)",,,,
D,11/5/21 18:11,11/4/21,SMAR,Smartsheet Inc,Farrell Eugene,CSPO,S - Sale+OE,$70.67 ,"-10,000","31,377",-24%,"($706,658)",,,,
D,11/5/21 18:23,11/4/21,ANAB,"Anaptysbio, Inc",Loumeau Eric J,"COO, GC",S - Sale+OE,$35.00 ,"-5,000",0,-100%,"($175,000)",,,,
DM,11/5/21 18:24,11/4/21,ANAB,"Anaptysbio, Inc",Suria Hamza,"Pres, CEO",S - Sale+OE,$35.00 ,"-20,361","67,636",-23%,"($712,635)",,,,
,11/5/21 18:23,11/4/21,BDN,Brandywine Realty Trust,Wirth Tom,"EVP, CFO",S - Sale,$13.77 ,"-5,000","228,873",-2%,"($68,863)",,,,
,11/5/21 18:33,11/4/21,HTBK,Heritage Commerce Corp,Dinapoli Jason Philip,Dir,P - Purchase,$12.11 ,"5,000","357,667",1%,"$60,569 ",,,,
D,11/5/21 19:28,11/4/21,ASO,"Academy Sports & Outdoors, Inc.",Lawrence Steven Paul,"EVP, CMO",S - Sale+OE,$48.02 ,"-4,455","111,553",-4%,"($213,941)",,,,
M,11/5/21 19:39,11/4/21,FORZ,Forza Innovations Inc,Forzani Johnny,"Pres, Secretary, Treas., 10%",S - Sale,$0.26 ,"-7,000","270,357,007",0%,"($1,850)",,,,
,11/5/21 20:00,11/4/21,WRAP,"Wrap Technologies, Inc.",Barnes James A,"CFO, SECRETARY, TREASURER",S - Sale,$5.96 ,"-6,000","2,152,519",0%,"($35,760)",,,,
,11/5/21 21:30,11/4/21,KLXE,"Klx Energy Services Holdings, Inc.",Baker Christopher J.,See Remarks,S - Sale,$5.00 ,"-1,500","227,462",-1%,"($7,500)",,,,
,11/3/21 11:32,11/3/21,OPY,Oppenheimer Holdings Inc,Oughtred A Winn,Dir,S - Sale,$52.23 ,"-5,000","18,150",-22%,"($261,134)",,,,
,11/3/21 11:51,11/3/21,ONB,Old National Bancorp /in/,Ramirez Austin M,Dir,P - Purchase,$17.50 ,"5,715","10,155",129%,"$99,991 ",,,,
,11/3/21 14:03,11/3/21,MSEX,Middlesex Water Co,Doll Dennis W,"Pres, CEO",S - Sale,$100.46 ,"-3,000","92,008",-3%,"($301,364)",,,,
,11/3/21 15:32,11/3/21,PFBX,Peoples Financial Corp /ms/,Swetman Chevis,"CEO, Pres",P - Purchase,$16.80 ,"1,013","359,791",0%,"$17,018 ",,,,
,11/3/21 15:36,11/3/21,CCK,Crown Holdings Inc,Conway John W,Dir,S - Sale,$107.47 ,-348,"1,031,929",0%,"($37,400)",,,,
,11/3/21 16:04,11/3/21,SCHW,Schwab Charles Corp,Schwab Charles R.,COB,S - Sale,$82.69 ,"-61,150","114,846,640",0%,"($5,056,286)",,,,
,11/3/21 16:17,11/3/21,PKBK,"Parke Bancorp, Inc.",Pantilione Vito S,"Pres, CEO",P - Purchase,$22.66 ,700,"313,142",0%,"$15,862 ",,,,
,11/3/21 16:18,11/3/21,CBKM,Consumers Bancorp Inc /oh/,Williams Derek G,"SVP, Retail Operations, Sales",P - Purchase,$23.00 ,100,"8,353",1%,"$2,300 ",,,,
,11/3/21 16:24,11/3/21,QUMU,Qumu Corp,Karp Jason,"CCO, Chief Counsel",P - Purchase,$2.03 ,"10,000","22,500",80%,"$20,253 ",,,,
,11/3/21 16:43,11/3/21,EL,Estee Lauder Companies Inc,Demsey John,Group Pres,S - Sale,$335.00 ,"-6,000","6,607",-48%,"($2,010,000)",,,,
D,11/3/21 16:42,11/3/21,GNTX,Gentex Corp,Wallace James H,Dir,S - Sale+OE,$36.23 ,"-7,000","28,709",-20%,"($253,643)",,,,
,11/3/21 16:43,11/3/21,EL,Estee Lauder Companies Inc,Haney Carl P.,"EVP-Global R, D",S - Sale,$336.66 ,"-1,500","9,314",-14%,"($504,990)",,,,
,11/3/21 17:15,11/3/21,SMP,"Standard Motor Products, Inc.",Tesoro Thomas,CHRO,S - Sale,$48.80 ,"-1,700","25,357",-6%,"($82,960)",,,,
,11/3/21 17:14,11/3/21,ONTO,Onto Innovation Inc.,Roth Steven R,"SVP, CFO",S - Sale,$83.00 ,"-5,000","23,803",-17%,"($415,000)",,,,
,11/3/21 17:23,11/3/21,SMP,"Standard Motor Products, Inc.",Nicholas Ray,"CIO, VP IT",S - Sale,$50.00 ,"-1,176","49,772",-2%,"($58,800)",,,,
